,brand,model_name,screen_size (sm),price(â‚¹),ram,storage,cpu_model,operating_system,rating,rating_review,graphics_card_description
110,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
111,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"90,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
112,ASUS,ASUS V16,16 Inches,"99,990",16 GB,no storage,Intel Core 7,Windows 11 Home,No rating,no rating_review,Dedicated
113,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
114,Lenovo,ThinkBook 16,16 Inches,"44,265",16 GB,512 GB,Ryzen 5,Windows 11 Home,3.7 out of 5 stars,87 ratings,Integrated
115,HP,HP Laptop,39.6 Centimetres,"29,890",8 GB,512 GB,Ryzen 3,Windows,4.0 out of 5 stars,"1,881 ratings",Integrated
116,HP,HP Gaming Laptop,15.6 Inches,"81,990",16 GB,512 GB,Intel Core i7,Windows 11 Home,3.6 out of 5 stars,66 ratings,Dedicated
117,Dell,Inspiron,14 Inches,"71,850",,1 TB,,Windows 11 Home,4.1 out of 5 stars,28 ratings,Integrated
118,ASUS,ASUS Vivobook 16X,16 Inches,"65,990",16 GB,no storage,Intel Core i7,Windows 11 Home,3.3 out of 5 stars,12 ratings,Integrated
119,Lenovo,Yoga Slim 7,14 Inches,"1,04,990",32 GB,1 TB,Intel Core Ultra 9,Windows 11 Home,4.2 out of 5 stars,12 ratings,Integrated
120,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
121,HP,14-he0015QU,35.6 Centimetres,"65,990",16 GB,1 TB,Snapdragon,Windows 11 Home,3.9 out of 5 stars,45 ratings,Integrated
122,Lenovo,IdeaPad Slim 3,15.3 Inches,"66,990",24 GB,1 TB,AMD Ryzen 7,Windows 11 Home,4.1 out of 5 stars,25 ratings,Integrated
123,ASUS,ASUS Vivobook 15,15.6 Inches,"52,990",16 GB,1 TB,Core i5,Windows 11 Home,3.9 out of 5 stars,21 ratings,Integrated
124,Lenovo,Lenovo V15 G4,15.6 Inches,"43,990",16 GB,512 GB,Ryzen 7,Windows 11 Home,3.9 out of 5 stars,119 ratings,Integrated
125,acer,Aspire 3,14 Inches,"20,990",8 GB,256 GB,Others,Windows 11 Home,3.4 out of 5 stars,643 ratings,Integrated
126,ASUS,ASUS TUF Gaming A16,16 Inches,"86,990",16 GB,1 TB,Ryzen 7,Windows 11 Home,4.0 out of 5 stars,28 ratings,Dedicated
127,ASUS,ASUS Zenbook 14,14 Inches,"1,15,990",,1 TB,Intel Core Ultra 7,Windows 11 Home,4.0 out of 5 stars,67 ratings,Integrated
128,HP,HP Laptop,40 Centimetres,"3,09,990",32 GB,1 TB,Intel Core Ultra 9,Windows 11 Home,3.6 out of 5 stars,7 ratings,Dedicated
129,Neopticon,BrowseBook,14.1 Inches,"15,990",8 GB,256 GB,Celeron N4020,Windows 11 Home,3.4 out of 5 stars,25 ratings,Integrated
130,Lenovo,IdeaPad Slim 5,13.3 Inches,"57,990",,512 GB,AMD Ryzen 5 3450U,Windows 11 Home,4.2 out of 5 stars,3 ratings,Integrated
131,Lenovo,ThinkBook 16,16 Inches,"48,990",16 GB,512 GB,Ryzen 7,Windows 11 Home,3.4 out of 5 stars,25 ratings,Integrated
132,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
133,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"90,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
134,Lenovo,IdeaPad Slim 3,15 Inches,"34,990",8 GB,512 GB,Intel Core i3,Windows 11 Home,4.8 out of 5 stars,5 ratings,Integrated
135,acer,Aspire 3,14 Inches,"21,990",8 GB,512 GB,Others,Windows 11 Home,3.4 out of 5 stars,643 ratings,Integrated
136,Dell,Inspiron,15.6 Inches,"39,490",8 GB,512 GB,Core i3,Windows 11 Home,4.0 out of 5 stars,292 ratings,Integrated
137,Samsung,Samsung Galaxy Book4,15.6 Inches,"49,500",16 GB,512 GB,Intel Core i5,Windows 11 Home,4.0 out of 5 stars,94 ratings,Integrated
138,acer,Aspire 3,14 Inches,"29,990",16 GB,512 GB,Core i3,Windows 11 Home,3.6 out of 5 stars,31 ratings,Integrated
139,Dell,Inspiron,15.6 Inches,"28,990",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.1 out of 5 stars,121 ratings,Integrated
140,Dell,Inspiron,15.6 Inches,"49,990",16 GB,512 GB,Core i5,Windows 11 Home,3.4 out of 5 stars,175 ratings,Integrated
141,Dell,Dell Laptop,15.6 Inches,"73,990",,1 TB,,Windows 11 Home,4.0 out of 5 stars,"1,304 ratings",Dedicated
142,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
143,HP,14-he0015QU,35.6 Centimetres,"65,990",16 GB,1 TB,Snapdragon,Windows 11 Home,3.9 out of 5 stars,45 ratings,Integrated
144,ASUS,ASUS Vivobook Go 14,14 Inches,"28,990",8 GB,512 GB,Ryzen 3,Windows 11 Home,4.0 out of 5 stars,111 ratings,Integrated
145,no brand,no model_name,no screen_size,699,no ram,no storage,no cpu_model,no operating_system,3.9 out of 5 stars,"2,247 ratings",No description
146,acer,Travel Lite,14 Inches,"49,990",32 GB,512 GB,Intel Core 5,Windows 11 Pro,3.5 out of 5 stars,3 ratings,Integrated
147,HP,HP 15,15.6 Inches,"34,350",16 GB,512 GB,Core i3,Windows 11 Home,4.1 out of 5 stars,42 ratings,Integrated
148,Tukzer,no model_name,no screen_size,299,no ram,no storage,no cpu_model,no operating_system,4.3 out of 5 stars,"1,675 ratings",No description
149,acer,Aspire Lite,15.6 Inches,"38,990",16 GB,512 GB,Core i5-12450H,Windows 11 Home,3.9 out of 5 stars,545 ratings,Integrated
150,Primebook,Primebook 2 Max,15.6 Inches,"19,490",8 GB,256 GB,MediaTek Helio,PrimeOS 3.0,4.5 out of 5 stars,128 ratings,Integrated
151,Lenovo,IdeaPad Slim,15 Inches,"60,780",16 GB,512 GB,Core i7-13700K,Windows 11 Home,4.1 out of 5 stars,434 ratings,Integrated
152,Lenovo,IdeaPad Slim 5,13.3 Inches,"59,990",16 GB,512 GB,AMD Ryzen 7,Windows 11 Home,3.6 out of 5 stars,35 ratings,Integrated
153,Lenovo,IdeaPad Slim 3,15.3 Inches,"66,990",24 GB,1 TB,AMD Ryzen 7,Windows 11 Home,4.1 out of 5 stars,25 ratings,Integrated
154,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"92,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
155,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
156,acer,Nitro V 15,15.6 Inches,"62,990",16 GB,no storage,Ryzen 5,Windows 11 Home,4.7 out of 5 stars,27 ratings,Dedicated
157,ASUS,ASUS Vivobook 14,14 Inches,"31,500",8 GB,512 GB,Core i3,Windows 11 Home,3.9 out of 5 stars,410 ratings,Integrated
158,HP,HP Laptop,39.6 Centimetres,"79,990",16 GB,no storage,Ryzen 7,Windows 11 Home,3.8 out of 5 stars,229 ratings,Dedicated
159,ASUS,ASUS Vivobook 15,15.6 Inches,"62,990",16 GB,1 TB,Intel Core i7,Windows 11 Home,3.7 out of 5 stars,41 ratings,Integrated
160,ASUS,ASUS Vivobook 15,15.6 Inches,"32,200",8 GB,512 GB,Core i3,Windows 11 Home,4.2 out of 5 stars,123 ratings,Integrated
161,Lenovo,E14 Gen 6,14 Inches,"52,506",16 GB,512 GB,Ryzen 5,Windows 11,3.9 out of 5 stars,10 ratings,Integrated
162,Lenovo,Lenovo V14,14 Inches,"46,990",16 GB,no storage,Core i5,Windows 11 Home,3.6 out of 5 stars,42 ratings,Integrated
163,ASUS,ASUS Zenbook 14,14 Inches,"92,990",,1 TB,Intel Core Ultra 5,Windows 11 Home,4.0 out of 5 stars,67 ratings,Integrated
164,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
165,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
166,FUTOPIA,NU14U3CNC43BN-MB,14.1 Inches,"11,490",4 GB,128 GB,Celeron N4020,Windows 11 Home,3.4 out of 5 stars,138 ratings,Integrated
167,acer,Aspire 3,14 Inches,"39,990",,512 GB,,Windows 11 Home,4.2 out of 5 stars,82 ratings,Integrated
168,amazon basics,no model_name,no screen_size,279,no ram,no storage,no cpu_model,no operating_system,4.1 out of 5 stars,"3,321 ratings",No description
169,Lenovo,LOQ,15.6,"59,990",,512 GB,Ryzen 5,Windows 11 Home,4.3 out of 5 stars,71 ratings,Dedicated
170,Lenovo,IdeaPad Slim 3,15.3,"57,490",24 GB,1 TB,Intel Core i5,Windows 11 Home,4.3 out of 5 stars,10 ratings,Integrated
171,Lenovo,IdeaPad,39.6 Centimetres,"45,490",,512 GB,Core i5 Family,Windows 11,3.9 out of 5 stars,290 ratings,Integrated
172,Dell,Latitude 15,15.6 Inches,"37,660",16 GB,512 GB,Core i3-1215U,Windows 11 Home,4.3 out of 5 stars,14 ratings,Integrated
173,HP,HP Laptop,39.6 Centimetres,"62,490",16 GB,512 GB,Intel Core Ultra 5,Windows 11 Home,4.0 out of 5 stars,"1,643 ratings",Integrated
174,Dell,Dell Laptop,15.6 Inches,"73,990",,1 TB,,Windows 11 Home,4.0 out of 5 stars,"1,304 ratings",Dedicated
175,acer,Aspire Lite,15.6 Inches,"38,990",16 GB,512 GB,Core i5-12450H,Windows 11 Home,3.9 out of 5 stars,545 ratings,Integrated
176,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
177,HP,HP Laptop,39.6 Centimetres,"35,490",12 GB,512 GB,Core i3 Family,Windows 11 Home,4.0 out of 5 stars,642 ratings,Integrated
178,no brand,no model_name,no screen_size,896,no ram,no storage,no cpu_model,no operating_system,3.9 out of 5 stars,"2,247 ratings",No description
179,Lenovo,Lenovo V15 G2 IJL,15.6 Inches,"23,890",8 GB,256 GB,Celeron N,Windows 11 Home,3.8 out of 5 stars,626 ratings,Integrated
180,Lenovo,IdeaPad 5 2-in-1,14 Inches,"67,990",16 GB,512 GB,no cpu_model,Windows 11 Home,4.0 out of 5 stars,24 ratings,Integrated
181,HP,HP 14,14 Inches,"28,990",8 GB,512 GB,Ryzen 5,Windows 11 Home,4.0 out of 5 stars,9 ratings,Integrated
182,Sounce,no model_name,no screen_size,89,no ram,no storage,no cpu_model,no operating_system,4.4 out of 5 stars,"1,962 ratings",No description
183,acer,Aspire 3,14 Inches,"44,990",,1 TB,Core i5,Windows 11 Home,4.2 out of 5 stars,82 ratings,Integrated
184,ZEBRONICS,no model_name,no screen_size,209,no ram,no storage,no cpu_model,Mac OS,3.7 out of 5 stars,93 ratings,No description
185,Portronics,no model_name,no screen_size,899,no ram,no storage,no cpu_model,no operating_system,4.0 out of 5 stars,274 ratings,No description
186,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
187,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"92,990",16 GB,256 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
188,acer,CB315-4H,15.6 Inches,"19,990",8 GB,128 GB,Others,Chrome OS,3.8 out of 5 stars,184 ratings,Integrated
189,no brand,no model_name,no screen_size,849,no ram,no storage,no cpu_model,no operating_system,3.9 out of 5 stars,"2,247 ratings",No description
190,acer,Aspire Lite,15.6 Inches,"33,990",16 GB,512 GB,Core i3,Windows 11 Home,3.8 out of 5 stars,501 ratings,Integrated
191,HP,HP Laptop,40.6 Centimetres,"68,990",,512 GB,Ryzen 5,Windows 11 Home,4.2 out of 5 stars,34 ratings,Dedicated
192,Dell,Inspiron 14,14 Inches,"34,740",16 GB,512 GB,Core i3,Windows 11 Home,3.1 out of 5 stars,9 ratings,Integrated
193,HP,HP Laptop,35.6 Centimetres,"27,990",8 GB,512 GB,Ryzen 5,DOS,No rating,no rating_review,Integrated
194,Lenovo,Lenovo 15,15.6 Inches,"34,900",16 GB,512 GB,Ryzen 5,Windows 11 Home,4.4 out of 5 stars,3 ratings,Integrated
195,ASUS,Vivobook,15.6 Inches,"30,990",8 GB,512 GB,Core i3,Windows 11 Home,3.7 out of 5 stars,183 ratings,Integrated
196,acer,Aspire Lite,15.6 Inches,"55,990",16 GB,no storage,Intel Core i7,Windows 11 Home,3.9 out of 5 stars,545 ratings,Integrated
197,Lenovo,IdeaPad Slim 3,15.3,"54,980",16 GB,no storage,Intel Core 5,Windows 11 Home,3.7 out of 5 stars,9 ratings,Integrated
198,HP,HP Laptop,39.6 Centimetres,"48,990",16 GB,512 GB,Core i5,Windows 11 Home,3.7 out of 5 stars,453 ratings,Integrated
199,Dell,Inspiron,15.6 Inches,"54,990",16 GB,1 TB,Core i5,Windows 11 Home,3.8 out of 5 stars,120 ratings,Integrated
200,HP,HP Laptop,40.6 Centimetres,"68,990",,512 GB,Ryzen 5,Windows 11 Home,4.2 out of 5 stars,34 ratings,Dedicated
201,no brand,no model_name,no screen_size,345,no ram,no storage,no cpu_model,no operating_system,3.8 out of 5 stars,"2,172 ratings",No description
202,Lenovo,IdeaTab Pro,12.7 Inches,"25,990",no ram,no storage,no cpu_model,"Android, Android 14",4.3 out of 5 stars,705 ratings,Integrated
203,no brand,no model_name,no screen_size,395,no ram,no storage,no cpu_model,no operating_system,4.1 out of 5 stars,"2,639 ratings",No description
204,boAt,no model_name,no screen_size,"3,999",no ram,no storage,no cpu_model,no operating_system,3.8 out of 5 stars,352 ratings,No description
205,amazon basics,no model_name,no screen_size,269,no ram,no storage,no cpu_model,no operating_system,4.2 out of 5 stars,"2,821 ratings",No description
206,ASUS,ASUS Vivobook 15,15.6 Inches,"32,750",8 GB,512 GB,Core i3,Windows 11 Home,4.2 out of 5 stars,8 ratings,Integrated
207,Tukzer,no model_name,no screen_size,113,no ram,no storage,no cpu_model,no operating_system,3.4 out of 5 stars,804 ratings,No description
208,Dell,Vostro 3530,15 Inches,"34,990",16 GB,512 GB,Core i3,Windows 11 Home,3.5 out of 5 stars,90 ratings,Integrated
209,Lenovo,IdeaPad Slim 3,15.6 Inches,"45,490",16 GB,512 GB,Core i5,"Windows 11 Home 64, English",4.2 out of 5 stars,28 ratings,Integrated
210,amazon basics,no model_name,no screen_size,"1,070",no ram,no storage,no cpu_model,no operating_system,4.6 out of 5 stars,361 ratings,No description
211,HP,HP 15,15.6 Inches,"34,990",16 GB,512 GB,Core i3,Windows 11 Pro,3.5 out of 5 stars,10 ratings,Integrated
212,HP,HP Laptop,15.6 Inches,"43,999",16 GB,512 GB,AMD Ryzen 7,DOS,4.8 out of 5 stars,9 ratings,Integrated
213,HP,HP 15,15.6 Inches,"31,980",,512 GB,Amd Ryzen 3 7320U,DOS,3.1 out of 5 stars,13 ratings,Integrated
214,Lenovo,Lenovo V14,14 Inches,"45,900",16 GB,512 GB,Core i5,Windows 11 Home,3.6 out of 5 stars,42 ratings,Integrated
215,ASUS,ASUS Vivobook 15,15.6 Inches,"39,990",16 GB,512 GB,Intel Core i3,Windows 11 Home,3.6 out of 5 stars,4 ratings,Integrated
216,GIZGA essentials,no model_name,no screen_size,189,no ram,no storage,no cpu_model,no operating_system,4.1 out of 5 stars,"26,068 ratings",No description
217,HP,HP Laptop 15s-eq2182AU,39.6 Centimetres,"41,500",,512 GB,AMD Ryzen 5 5500U,Windows 11 Home,4.1 out of 5 stars,"1,202 ratings",Integrated
218,Dell,Inspiron,15.6 Inches,"49,990",16 GB,512 GB,Core i5,Windows 11 Home,3.4 out of 5 stars,175 ratings,Integrated
219,Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,"1,15,990",16 GB,512 GB,Apple M4,Mac OS,4.6 out of 5 stars,614 ratings,Integrated
